timestamp,$50.99 or below,$51 to 51.99,$52 to 52.99,$53 to 53.99,$54 to 54.99,$55 to 55.99,$56 to 56.99,$57 to 57.99,$58 to 58.99,$59 to 59.99,$60 to 60.99,$61 to 61.99,$62 to 62.99,$63 to 63.99,$64.0 or above
2025-12-20T16:00:00Z,,,,,9.00,20.00,,,,,,,,,
2025-12-20T17:00:00Z,,,,,9.00,20.00,,,,,,,,,
2025-12-20T18:00:00Z,,,,,9.00,20.00,21.00,,,,,,,,
2025-12-20T19:00:00Z,,,,,9.00,21.00,21.00,,,,,,,,
2025-12-20T20:00:00Z,,,,,9.00,21.00,21.00,20.00,,,,,,,
2025-12-20T21:00:00Z,,,,,9.00,21.00,21.00,20.00,,,,,,,
2025-12-20T22:00:00Z,,,,,9.00,21.00,21.00,20.00,,,,,,,
2025-12-20T23:00:00Z,,,,,9.00,21.00,22.00,20.00,,,,,,,
2025-12-21T00:00:00Z,,,,,9.00,21.85,21.98,20.00,,,,,,,
2025-12-21T01:00:00Z,,,,,9.00,13.00,23.23,20.00,,,,,,,
2025-12-21T02:00:00Z,,,,,9.00,13.00,25.94,20.00,,,,,,,
2025-12-21T03:00:00Z,,,,,15.50,20.66,26.00,18.40,,,,,,,
2025-12-21T04:00:00Z,,,,,15.50,21.00,26.00,18.40,,,,,,,
2025-12-21T05:00:00Z,,,,,15.50,21.00,27.00,18.40,,,,,,,
2025-12-21T06:00:00Z,,4.84,,,15.50,21.00,27.00,18.40,,,,,,,
2025-12-21T07:00:00Z,,4.84,,,15.50,21.00,27.00,18.40,,,,,,,
2025-12-21T08:00:00Z,,4.84,,2.00,15.50,21.00,27.00,18.40,,,,,,,
2025-12-21T09:00:00Z,,4.84,,2.00,15.50,21.00,27.00,19.00,,,,,,,
2025-12-21T11:00:00Z,,4.84,,2.00,15.50,20.00,27.00,19.00,,,,,,,
2025-12-21T13:00:00Z,,4.84,,2.00,15.88,20.00,28.00,19.00,,,,,,,
2025-12-21T15:00:00Z,,4.84,,2.00,15.88,20.00,28.00,19.00,,,,,,,
2025-12-21T17:00:00Z,,4.84,,2.00,15.88,16.50,28.00,19.00,,,,,,,
2025-12-21T18:00:00Z,,4.84,,2.00,15.88,16.50,28.00,19.00,,,,,,,
2025-12-21T19:00:00Z,,4.84,,2.00,15.88,20.00,28.00,19.00,,,,,,,
2025-12-21T21:00:00Z,,4.84,,2.00,15.88,20.00,27.00,20.00,,,,,,,
2025-12-21T22:00:00Z,,4.84,,2.00,15.88,21.00,27.16,20.00,,,,,,,
2025-12-21T23:00:00Z,,4.84,,2.00,15.88,21.00,28.00,20.00,,,,,,,
2025-12-22T00:00:00Z,,4.84,,2.00,15.88,21.00,30.00,20.00,,,,,,,
2025-12-22T01:00:00Z,,4.84,,2.00,15.88,21.00,30.00,20.00,,,,,,,
2025-12-22T02:00:00Z,,4.84,,2.00,15.88,20.68,26.42,20.00,,,,,,,
2025-12-22T03:00:00Z,,4.84,,2.00,15.88,21.07,28.83,20.00,,,,,,,
2025-12-22T04:00:00Z,,4.84,,2.00,15.88,21.07,30.00,20.00,,,,,,,
2025-12-22T05:00:00Z,,4.84,,2.00,15.88,22.00,22.00,22.00,,,,,,,
2025-12-22T06:00:00Z,,4.84,,2.00,15.88,22.17,28.33,22.00,,,,,,,
2025-12-22T07:00:00Z,,4.84,,2.00,15.88,22.17,30.00,22.00,16.60,,,5.68,,,
2025-12-22T08:00:00Z,,4.84,,2.00,15.88,22.17,21.00,22.00,16.60,13.26,,5.68,,,
2025-12-22T09:00:00Z,,4.84,,2.00,11.00,22.17,21.00,22.00,16.60,13.26,7.58,5.00,,,
2025-12-22T10:00:00Z,,4.84,,2.00,11.00,22.00,30.00,22.00,16.60,13.26,7.58,5.00,,,
2025-12-22T11:00:00Z,,4.84,,2.00,9.00,21.43,30.00,22.00,16.60,13.26,7.58,5.00,,,
