timestamp,$57.99 or below,$58.00 to 58.99,$59.00 to 59.99,$60.00 to 60.99,$61.00 to 61.99,$62.00 to 62.99,$63.00 to 63.99,$64.00 to 64.99,$65.00 to 65.99,$66.00 to 66.99,$67.00 to 67.99,$68.00 to 68.99,$69.00 to 69.99,$70.00 to 70.99,$71.0 or above
2026-02-18T00:00:00Z,,,,,,,,,,,,,,,8.00
2026-02-18T01:00:00Z,,,,,,22.61,20.00,17.00,,,,,,,8.00
2026-02-18T02:00:00Z,,,,,21.31,24.20,20.00,17.00,,,,,,,8.00
2026-02-18T03:00:00Z,,,,,21.31,23.00,20.98,17.00,,,,,,,8.00
2026-02-18T04:00:00Z,,,,,21.31,24.00,22.00,17.00,8.00,,,,,,8.00
2026-02-18T05:00:00Z,,,,14.00,20.95,24.33,21.38,17.00,8.00,,,,,,1.02
2026-02-18T06:00:00Z,1.00,4.00,5.00,8.00,15.00,24.95,19.57,12.00,8.00,6.00,4.00,2.00,1.00,1.00,1.02
2026-02-18T08:00:00Z,1.00,4.00,5.00,8.00,14.18,31.20,16.00,12.00,8.00,6.00,4.00,2.00,1.00,1.00,1.02
2026-02-18T09:00:00Z,1.00,4.00,5.00,8.00,14.00,29.69,16.00,12.00,8.00,6.00,4.00,2.00,1.00,1.00,1.02
2026-02-18T10:00:00Z,1.00,4.00,5.00,8.00,14.00,32.73,16.00,12.00,8.00,6.00,4.00,2.00,1.00,1.00,1.02
2026-02-18T11:00:00Z,1.00,4.00,5.00,8.00,14.00,33.00,16.00,12.00,8.00,6.00,4.00,2.00,1.00,1.00,1.02
2026-02-18T12:00:00Z,1.00,4.00,5.00,8.00,14.00,21.32,22.11,13.66,8.83,6.00,4.00,2.00,1.00,1.00,1.02
2026-02-18T13:00:00Z,1.00,4.00,5.00,8.00,13.40,16.04,23.96,23.55,10.59,6.00,4.00,2.00,1.00,1.00,1.02
2026-02-18T14:00:00Z,1.00,4.00,5.00,8.00,13.40,16.04,27.00,27.00,10.59,7.00,4.00,2.00,1.00,1.00,18.17
2026-02-18T15:00:00Z,1.00,4.00,5.00,8.00,9.00,15.00,21.02,25.00,17.00,7.00,5.00,2.00,1.00,1.00,7.60
2026-02-18T16:00:00Z,1.00,4.00,5.00,8.00,9.00,15.00,22.00,23.00,17.53,7.00,5.00,2.00,1.00,1.00,3.00
2026-02-18T17:00:00Z,1.00,4.00,5.00,8.00,9.00,15.00,21.11,25.19,20.55,7.00,5.00,2.00,1.00,1.00,5.41
2026-02-18T18:00:00Z,1.00,4.00,5.00,8.00,9.00,15.00,16.38,25.81,22.00,7.00,5.00,2.00,1.00,4.10,5.41
2026-02-18T19:00:00Z,1.00,4.00,5.00,8.00,9.00,14.49,19.00,24.16,21.52,7.00,5.00,2.00,1.00,4.10,6.00
2026-02-18T20:00:00Z,1.00,4.00,5.00,4.03,7.00,9.82,17.90,22.00,19.94,10.52,5.00,2.00,1.00,4.10,10.16
2026-02-18T21:00:00Z,1.00,1.00,5.00,4.03,7.00,9.82,17.90,23.00,22.00,17.00,5.00,2.00,1.00,4.10,10.49
2026-02-18T22:00:00Z,1.00,1.00,5.00,4.03,6.00,13.15,17.90,21.26,21.17,17.00,12.00,2.00,1.00,4.10,10.49
2026-02-18T23:00:00Z,1.00,1.00,5.00,4.03,6.00,13.15,15.63,22.13,22.88,17.00,12.00,7.00,1.00,4.10,10.49
2026-02-19T00:00:00Z,1.00,1.00,5.00,4.03,6.00,13.15,16.00,25.32,22.26,16.00,12.00,7.00,1.00,4.10,10.00
2026-02-19T01:00:00Z,1.00,1.00,5.00,4.03,6.00,13.15,16.00,25.08,22.49,16.00,12.00,7.00,4.90,4.10,10.00
2026-02-19T02:00:00Z,1.00,1.00,2.00,4.03,6.00,8.60,15.00,23.13,21.81,16.00,12.00,7.00,4.90,4.10,11.64
2026-02-19T03:00:00Z,1.00,1.00,2.00,4.03,6.00,8.88,13.57,22.87,22.73,15.27,10.16,7.00,4.90,4.10,11.64
2026-02-19T04:00:00Z,1.00,1.00,2.00,4.03,6.00,8.88,14.00,22.87,23.00,13.00,10.16,7.00,4.90,4.10,11.64
2026-02-19T05:00:00Z,1.00,1.00,2.00,4.03,6.00,8.88,16.00,23.25,23.37,16.68,8.00,4.43,4.90,4.10,11.64
2026-02-19T06:00:00Z,1.00,1.00,2.00,4.03,6.00,9.00,15.87,23.92,23.36,16.68,8.00,3.00,3.00,4.10,8.00
2026-02-19T07:00:00Z,1.00,1.00,2.00,4.03,6.00,10.05,15.87,24.68,24.35,16.68,8.00,3.00,3.00,4.10,8.00
2026-02-19T08:00:00Z,1.00,1.00,2.00,4.03,3.00,10.05,15.87,24.68,26.20,17.75,8.00,3.00,3.00,4.10,8.00
2026-02-19T11:00:00Z,1.00,1.00,2.00,4.03,3.00,10.05,15.87,25.00,28.75,21.84,8.76,3.00,3.00,4.10,8.00
2026-02-19T12:00:00Z,1.00,1.00,2.00,4.03,3.00,8.14,15.87,17.81,22.00,28.70,12.67,4.00,5.00,4.10,6.14
2026-02-19T13:00:00Z,1.00,1.00,2.00,4.03,3.00,6.00,13.00,19.51,26.00,23.90,12.67,4.93,3.00,4.10,6.00
