timestamp,$50.99 or below,$51 to 51.99,$52 to 52.99,$53 to 53.99,$54 to 54.99,$55 to 55.99,$56 to 56.99,$57 to 57.99,$58 to 58.99,$59 to 59.99,$60 to 60.99,$61 to 61.99,$62 to 62.99,$63 to 63.99,$64.0 or above
2026-01-10T19:00:00Z,,,,,,,,,19.00,18.00,,,,,
2026-01-10T20:00:00Z,,,,3.33,,,,,18.00,18.00,,,,,
2026-01-10T21:00:00Z,,,,3.33,,8.00,,,18.00,18.00,,,,,
2026-01-10T22:00:00Z,,,,3.33,,8.00,12.00,16.00,18.00,19.65,,,,,
2026-01-10T23:00:00Z,,,,3.33,,22.97,12.00,15.00,18.00,24.00,,,,,4.37
2026-01-11T00:00:00Z,,,,3.33,,22.97,12.00,14.64,45.27,25.00,,,,4.60,4.37
2026-01-11T01:00:00Z,,,,3.33,,22.97,12.00,14.64,45.27,25.00,,,,9.86,4.37
2026-01-11T02:00:00Z,,,,3.33,,1.12,2.00,30.74,21.83,8.27,1.00,1.00,1.00,2.12,2.00
2026-01-11T03:00:00Z,,,,3.33,,1.12,18.80,30.74,35.55,8.27,1.00,1.00,1.00,2.12,2.00
2026-01-11T04:00:00Z,,,,3.33,,1.12,16.19,30.74,30.00,8.27,1.00,1.00,1.00,2.12,2.00
2026-01-11T05:00:00Z,,,,3.33,,8.00,17.00,24.83,30.00,23.00,1.00,1.00,1.00,2.12,10.02
2026-01-11T06:00:00Z,,,,3.33,,8.00,17.00,24.83,32.32,23.00,1.00,1.00,1.00,2.12,9.00
2026-01-11T07:00:00Z,,,,3.33,,2.00,3.21,3.00,95.68,4.00,3.00,3.00,2.00,2.34,3.78
2026-01-11T08:00:00Z,,,,3.33,,2.00,3.21,23.00,95.68,4.00,15.02,3.00,2.00,2.34,3.78
2026-01-11T12:00:00Z,,,,3.33,,2.00,3.21,23.78,95.68,22.00,15.00,3.00,2.00,2.34,3.78
2026-01-11T13:00:00Z,,,,3.33,,2.00,3.21,23.78,30.00,22.00,15.00,3.00,2.00,2.34,3.78
2026-01-11T14:00:00Z,,,,3.33,,2.00,3.21,23.78,30.00,22.00,21.53,12.00,7.00,2.34,3.78
2026-01-11T15:00:00Z,,,,3.33,,8.00,3.21,23.78,30.00,21.00,21.53,12.00,7.00,2.34,10.35
2026-01-11T16:00:00Z,,,,3.33,,8.00,3.21,23.78,43.09,21.00,25.00,12.00,7.00,2.34,10.35
2026-01-11T17:00:00Z,,,,3.33,3.00,4.00,5.00,6.00,78.00,19.69,15.00,4.00,2.00,3.00,5.00
2026-01-11T18:00:00Z,,,,3.33,3.00,4.00,5.00,6.00,77.00,22.82,25.00,4.00,2.00,3.00,5.00
2026-01-11T19:00:00Z,,,,3.33,3.00,4.00,5.00,22.00,16.48,22.82,28.22,4.00,7.00,3.00,5.00
2026-01-11T20:00:00Z,,,,3.33,3.00,7.77,5.00,6.00,69.00,12.00,22.15,4.00,2.00,3.00,5.00
2026-01-11T21:00:00Z,,,,3.33,3.00,5.00,5.00,6.00,70.00,15.00,5.00,4.00,2.00,3.00,5.00
2026-01-11T22:00:00Z,,,,3.33,3.00,5.00,5.00,20.34,62.00,35.00,5.00,4.00,2.00,3.00,5.00
2026-01-11T23:00:00Z,,,,1.00,3.00,3.00,11.61,15.55,65.20,29.21,9.12,3.00,1.14,3.00,6.00
2026-01-12T00:00:00Z,,,,1.00,2.00,3.00,6.00,11.16,59.50,45.97,4.70,6.24,1.00,2.43,6.00
2026-01-12T01:00:00Z,,4.00,,1.00,2.00,3.00,6.00,11.16,46.00,30.12,4.70,6.24,1.00,2.43,6.00
2026-01-12T02:00:00Z,,4.00,,1.00,2.00,3.00,6.00,19.27,58.21,30.12,4.70,6.24,1.00,2.43,6.00
2026-01-12T03:00:00Z,3.00,4.00,,1.00,2.00,3.00,6.00,19.27,60.12,44.03,4.70,6.24,1.00,2.43,6.00
2026-01-12T04:00:00Z,3.00,4.00,,4.08,2.00,3.00,6.00,8.00,44.00,47.51,7.00,5.00,3.00,2.00,6.20
2026-01-12T05:00:00Z,3.00,4.00,,4.08,2.00,4.00,4.00,21.01,27.92,36.41,8.00,5.00,3.00,1.88,5.00
2026-01-12T06:00:00Z,3.00,4.00,,4.08,2.00,4.00,5.96,10.27,34.98,30.56,11.19,5.00,3.40,1.57,20.26
2026-01-12T07:00:00Z,3.00,4.00,,4.08,2.00,4.00,5.96,10.27,36.88,30.56,11.19,5.00,3.40,1.57,20.26
2026-01-12T08:00:00Z,3.00,4.00,,4.08,2.00,4.00,5.96,10.27,38.00,30.50,11.19,9.47,3.40,1.57,20.26
2026-01-12T09:00:00Z,3.00,4.00,,4.08,2.00,2.76,5.00,13.00,44.64,22.28,7.00,25.03,3.00,1.02,9.00
2026-01-12T10:00:00Z,3.00,4.00,,4.08,2.00,2.76,5.00,43.48,44.64,22.28,7.00,25.03,3.00,1.02,9.00
2026-01-12T11:00:00Z,3.00,4.00,,4.08,2.00,3.00,5.00,41.00,32.00,22.00,5.00,5.00,3.00,1.00,5.00
2026-01-12T12:00:00Z,3.00,4.00,,4.08,2.00,5.38,15.62,41.00,32.00,22.00,8.00,5.00,3.00,1.00,5.00
2026-01-12T13:00:00Z,3.00,4.00,,4.08,2.00,3.00,15.83,15.00,47.83,23.00,7.61,5.00,3.00,1.00,5.00
2026-01-12T14:00:00Z,3.00,4.00,,4.08,2.00,7.48,9.21,18.96,36.38,22.60,7.05,5.88,3.00,1.88,5.00
2026-01-12T15:00:00Z,3.00,4.00,,4.08,2.00,7.48,9.21,18.96,36.33,23.97,7.00,5.88,3.00,1.88,5.00
2026-01-12T16:00:00Z,3.00,4.00,,4.08,2.00,6.31,18.23,22.74,27.78,21.02,6.10,5.37,2.05,1.00,4.57
2026-01-12T17:00:00Z,3.00,4.00,,4.08,2.00,6.31,18.23,18.00,24.00,22.00,13.96,5.37,2.00,1.00,4.57
2026-01-12T18:00:00Z,3.00,4.00,,4.08,2.00,6.31,7.00,18.00,23.00,22.00,17.00,5.37,4.00,1.00,4.57
2026-01-12T19:00:00Z,3.00,4.00,,4.08,2.00,5.09,7.00,18.00,23.00,22.00,17.00,5.37,4.00,1.00,4.57
2026-01-12T20:00:00Z,3.00,4.00,,4.08,2.00,5.09,7.00,14.00,21.30,22.56,19.00,12.00,5.00,1.00,4.57
2026-01-12T21:00:00Z,3.00,4.00,,4.08,2.00,5.09,9.34,15.18,21.10,23.00,14.00,9.38,4.00,2.18,3.00
2026-01-12T22:00:00Z,3.00,4.00,,4.08,2.00,5.09,9.34,15.00,21.78,23.00,18.00,9.38,4.00,2.18,3.00
2026-01-12T23:00:00Z,3.00,4.00,,4.08,2.00,5.09,9.34,14.00,21.78,23.00,18.00,9.38,4.00,2.18,3.00
2026-01-13T00:00:00Z,3.00,4.00,,4.08,2.00,5.09,9.34,14.00,21.03,22.92,18.00,9.38,4.00,2.18,3.00
2026-01-13T01:00:00Z,3.00,4.00,,4.08,2.00,5.09,9.34,13.59,21.03,25.74,17.88,9.38,5.00,2.18,3.00
2026-01-13T02:00:00Z,3.00,4.00,,4.08,2.00,5.09,9.34,13.59,21.00,26.90,19.97,11.00,5.00,2.18,3.00
2026-01-13T03:00:00Z,3.00,4.00,,4.08,2.00,5.09,9.34,13.59,21.00,25.30,19.69,11.00,8.99,7.50,4.36
2026-01-13T04:00:00Z,3.00,4.00,,4.08,2.00,5.09,9.34,13.59,19.00,26.85,20.92,11.00,8.99,7.50,5.00
2026-01-13T05:00:00Z,3.00,4.00,,4.08,2.00,5.09,9.34,13.59,19.00,26.92,20.92,11.00,8.99,7.50,5.00
2026-01-13T06:00:00Z,3.00,4.00,,4.08,2.00,5.09,9.34,13.59,21.00,27.00,20.92,11.00,8.99,5.00,4.00
2026-01-13T07:00:00Z,2.45,4.00,,4.08,2.45,5.09,9.34,13.59,21.00,27.73,20.92,11.00,8.99,5.00,5.00
2026-01-13T08:00:00Z,2.45,3.58,,4.08,2.45,5.09,7.00,12.00,20.00,27.66,21.77,12.40,8.99,5.00,5.00
2026-01-13T10:00:00Z,2.45,3.58,,4.08,2.45,5.09,6.00,9.82,17.45,27.66,21.77,12.40,6.92,5.00,5.00
2026-01-13T11:00:00Z,2.45,3.58,,4.08,2.45,5.09,6.00,9.82,17.45,25.88,22.98,12.40,8.00,5.00,5.00
2026-01-13T12:00:00Z,2.45,3.58,,4.08,2.45,5.09,6.00,9.82,17.45,21.25,24.00,17.86,8.00,5.00,5.00
2026-01-13T13:00:00Z,3.79,3.58,,4.08,2.45,5.09,6.00,8.00,16.00,24.00,24.00,20.00,8.00,5.00,4.00
2026-01-13T14:00:00Z,3.79,3.58,,4.08,2.45,5.09,6.00,8.00,16.00,24.00,24.00,20.00,11.00,5.00,4.00
2026-01-13T15:00:00Z,3.79,3.58,,4.08,2.45,4.00,6.00,6.12,15.00,19.55,24.00,20.00,11.25,7.65,5.59
2026-01-13T16:00:00Z,3.79,3.58,,4.08,1.00,4.00,6.00,6.12,15.00,20.68,20.62,20.00,11.00,10.00,5.59
2026-01-13T17:00:00Z,3.79,3.58,,4.08,1.00,4.00,5.00,5.90,15.00,20.44,21.83,19.00,11.00,10.00,8.00
2026-01-13T18:00:00Z,3.79,3.58,1.00,4.08,1.00,3.00,4.94,6.00,8.03,18.95,22.37,18.94,16.70,8.70,8.00
2026-01-13T19:00:00Z,3.79,3.58,1.00,1.00,1.00,3.00,4.94,6.00,8.03,18.50,21.05,17.89,11.65,8.95,7.32
2026-01-13T20:00:00Z,3.79,3.58,1.00,1.00,1.00,3.00,4.94,3.29,7.12,20.05,21.24,18.34,11.96,7.45,12.68
2026-01-13T21:00:00Z,3.79,3.58,1.00,1.00,1.00,3.00,4.94,3.00,7.12,26.82,26.02,16.00,15.00,7.45,17.00
2026-01-13T22:00:00Z,3.79,1.97,1.00,2.87,1.93,2.00,3.00,3.19,5.41,23.11,40.69,27.77,6.87,6.66,17.63
2026-01-13T23:00:00Z,3.79,1.97,1.00,2.87,1.93,1.00,2.25,2.75,8.99,19.16,30.26,25.22,10.54,6.00,31.91
2026-01-14T00:00:00Z,3.79,1.97,1.00,2.87,1.93,2.00,2.25,2.75,7.89,19.07,31.16,29.13,10.54,6.00,16.25
2026-01-14T01:00:00Z,3.79,1.97,1.00,2.87,1.93,1.00,2.00,2.93,10.29,18.75,33.93,36.93,10.31,6.68,15.00
2026-01-14T02:00:00Z,3.79,1.97,1.00,2.87,1.93,1.00,2.00,2.00,11.88,14.25,33.46,44.45,4.00,5.00,21.57
2026-01-14T03:00:00Z,1.00,1.00,1.00,1.00,1.93,1.00,2.48,10.86,9.79,14.81,24.07,43.83,7.28,5.95,14.11
2026-01-14T04:00:00Z,1.00,1.00,1.00,1.00,8.06,1.00,1.00,8.75,7.15,10.00,32.33,24.40,20.64,7.17,19.77
2026-01-14T05:00:00Z,1.00,1.00,1.00,1.00,8.06,1.00,2.87,9.25,9.25,15.89,24.13,28.76,20.64,9.26,13.99
2026-01-14T06:00:00Z,1.00,1.00,1.00,1.00,4.52,1.00,2.87,3.12,7.36,16.64,30.25,35.80,11.50,6.00,13.00
2026-01-14T07:00:00Z,1.00,1.00,1.00,1.00,4.52,1.00,2.87,3.12,7.98,16.64,31.51,31.50,16.29,6.00,13.00
2026-01-14T08:00:00Z,1.00,1.00,1.00,1.00,4.52,1.00,2.87,2.86,5.73,13.00,31.33,28.47,10.72,6.00,13.00
2026-01-14T09:00:00Z,1.00,1.00,1.00,1.00,4.52,1.00,2.87,2.86,5.73,13.00,28.07,28.47,10.72,6.00,13.00
2026-01-14T10:00:00Z,1.00,1.00,1.00,1.00,4.52,1.00,2.87,2.86,8.35,14.98,28.07,28.00,10.72,5.08,13.00
2026-01-14T11:00:00Z,1.00,1.00,1.00,1.00,4.52,1.00,2.87,2.86,8.35,14.98,31.00,32.00,10.72,5.08,13.00
2026-01-14T12:00:00Z,1.00,1.00,1.00,1.00,4.52,1.00,1.00,3.00,7.00,13.20,25.91,31.00,17.75,4.00,13.80
2026-01-14T13:00:00Z,1.00,1.00,1.00,1.00,4.52,1.00,1.00,2.86,6.61,12.40,25.23,28.25,19.86,6.01,13.56
2026-01-14T14:00:00Z,1.00,1.00,1.00,1.00,4.52,1.00,1.00,4.10,6.15,14.84,20.54,30.96,31.82,6.81,11.00
2026-01-14T15:00:00Z,1.00,1.00,1.00,1.00,4.52,1.00,1.00,4.10,6.15,9.03,26.00,36.47,26.18,10.86,13.31
2026-01-14T16:00:00Z,1.00,1.00,1.00,1.00,4.52,1.00,1.00,2.75,5.25,9.25,21.93,29.48,28.00,8.25,18.52
2026-01-14T17:00:00Z,1.55,1.00,1.00,1.00,4.52,1.00,1.00,2.75,8.33,9.00,19.23,31.60,20.00,7.00,20.34
2026-01-14T18:00:00Z,1.55,1.00,1.00,1.00,4.52,1.00,1.00,2.00,7.27,8.00,21.95,29.64,25.47,7.98,17.36
2026-01-14T19:00:00Z,1.55,1.00,1.00,1.00,4.52,1.00,1.00,1.00,7.24,11.71,20.64,36.21,31.39,7.80,12.20
2026-01-14T20:00:00Z,1.00,1.00,1.00,1.00,4.52,1.00,1.00,1.00,8.91,13.62,18.32,21.75,19.71,17.53,11.33
2026-01-14T21:00:00Z,1.98,1.00,1.29,1.00,4.52,1.00,2.17,4.24,14.79,12.74,16.11,20.57,12.59,15.06,12.76
2026-01-14T22:00:00Z,1.98,1.00,1.29,1.00,4.52,1.00,2.17,6.79,15.27,17.00,19.31,24.39,9.29,7.88,12.76
2026-01-14T23:00:00Z,1.98,1.00,1.29,1.00,4.52,7.13,2.17,5.00,17.00,13.67,20.58,20.05,11.73,7.88,9.86
2026-01-15T00:00:00Z,1.98,1.00,1.29,1.00,4.52,7.13,2.17,5.00,16.96,15.00,17.00,22.54,11.00,9.00,8.82
2026-01-15T01:00:00Z,1.98,1.00,1.29,1.00,4.52,2.00,2.17,5.00,15.37,15.00,17.41,22.56,10.75,9.00,7.00
2026-01-15T02:00:00Z,1.63,1.00,1.29,1.00,1.72,2.54,2.17,5.00,17.03,15.56,22.99,20.96,11.42,7.00,6.89
2026-01-15T03:00:00Z,2.00,1.54,1.29,1.00,1.72,2.54,3.76,4.00,17.86,20.80,24.19,23.60,9.55,5.56,5.61
2026-01-15T04:00:00Z,1.57,1.00,1.00,1.00,1.72,2.00,3.60,7.62,19.01,21.86,25.53,23.72,8.23,9.87,5.94
2026-01-15T05:00:00Z,1.57,1.00,1.00,1.00,1.72,2.00,3.60,4.04,17.97,30.15,29.57,22.91,9.00,9.87,5.94
2026-01-15T06:00:00Z,1.57,1.00,1.00,1.00,1.72,2.00,3.95,8.35,20.68,22.73,26.11,24.00,7.91,9.87,5.94
2026-01-15T07:00:00Z,1.57,1.00,1.00,1.00,1.00,3.00,3.00,5.00,16.24,22.06,28.09,24.47,10.13,3.00,4.00
2026-01-15T08:00:00Z,1.57,1.00,1.00,1.00,1.00,2.00,3.00,8.31,18.00,22.63,26.75,20.00,6.00,3.00,3.78
2026-01-15T11:00:00Z,1.57,1.00,1.00,1.00,1.00,2.21,3.54,8.17,18.19,25.41,31.53,22.95,7.68,3.00,3.00
2026-01-15T12:00:00Z,1.57,1.00,1.00,1.00,1.70,3.75,3.71,9.00,18.27,21.84,30.65,19.00,4.84,5.45,3.00
2026-01-15T13:00:00Z,1.57,1.00,1.00,1.00,1.00,2.00,3.71,5.33,19.15,38.33,23.77,19.00,3.30,2.77,3.00
2026-01-15T14:00:00Z,1.57,1.00,1.00,1.00,1.00,1.72,3.71,9.49,23.08,40.37,23.25,17.79,3.00,4.62,2.54
2026-01-15T15:00:00Z,1.57,1.00,1.00,1.00,1.00,1.00,3.71,5.57,35.68,22.27,17.85,15.12,3.00,2.00,2.00
2026-01-15T16:00:00Z,1.57,1.00,1.00,1.00,1.00,1.00,3.71,8.29,25.36,31.17,19.16,10.43,2.27,2.00,2.00
2026-01-15T17:00:00Z,1.57,1.00,1.00,1.00,1.00,2.92,4.20,10.53,22.23,27.95,23.03,7.05,2.00,2.00,2.00
2026-01-15T18:00:00Z,1.57,1.00,1.00,1.00,1.00,2.92,4.20,11.14,24.16,26.54,23.03,7.53,2.00,2.00,2.00
2026-01-15T19:00:00Z,1.57,1.00,1.00,1.00,1.98,2.59,5.62,12.00,22.23,32.61,24.45,10.46,3.42,3.07,2.00
2026-01-15T20:00:00Z,1.00,1.00,1.00,1.00,1.98,2.25,4.00,11.19,18.24,26.75,24.19,8.46,2.00,2.00,2.00
2026-01-15T21:00:00Z,1.00,1.00,1.00,1.00,1.98,2.25,5.44,14.46,28.85,32.82,23.21,6.68,2.00,2.00,2.00
2026-01-15T22:00:00Z,1.00,1.00,1.00,1.00,1.98,2.25,5.44,16.96,28.60,31.53,23.68,9.38,2.00,2.00,2.00
2026-01-15T23:00:00Z,1.00,1.00,1.00,1.00,1.98,2.25,5.00,13.40,19.17,33.15,19.27,9.95,1.53,2.00,3.04
2026-01-16T00:00:00Z,1.00,1.00,1.00,1.00,1.98,1.98,4.00,13.00,24.67,38.21,21.92,6.04,4.77,2.00,2.00
